,User,Date,Tweet,Positive,Negative,Neutral,Tweets Ago,Compound
413,nytimes,Sat Jun 09 23:25:30 +0000 2018,I Have Post-Brokeness Stress Disorder https://t.co/DzbNcVsanm,0.0,0.353,0.647,14,-0.6705
414,nytimes,Sat Jun 09 23:11:56 +0000 2018,The powerful conservative donor couple you’ve never heard of: Liz and Dick Uihlein are spending millions to shape a… https://t.co/X4PKGfkCQc,0.116,0.747,0.137,15,-0.128
415,nytimes,Sat Jun 09 22:53:56 +0000 2018,"Breaking News: Justify won the Belmont Stakes to become the 13th Triple Crown champion, the second in 4 years https://t.co/hm0DyHs93a",0.309,0.691,0.0,16,0.8225
416,nytimes,Sat Jun 09 22:53:01 +0000 2018,"""This has been a very slim Broadway season."" What NYT's theater critics had to say about the Tony Awards nomination… https://t.co/4LbGoj8MbY",0.129,0.776,0.095,17,0.2023
417,nytimes,Sat Jun 09 22:36:48 +0000 2018,"What to watch, what to read and what to listen to by and about Anthony Bourdain https://t.co/xKVpypbD5i",0.0,1.0,0.0,18,0.0
418,nytimes,Sat Jun 09 22:20:02 +0000 2018,"She went out for a walk with her dogs. Then she went missing. Hours later, officials found human remains inside of… https://t.co/wMhCiG236J",0.0,0.901,0.099,19,-0.296
419,nytimes,Sat Jun 09 22:10:05 +0000 2018,"Justify will attempt to become the 13th Triple Crown winner, and first since American Pharoah in 2015, in the Belmo… https://t.co/oSk73TTFVu",0.16,0.84,0.0,20,0.5859
420,nytimes,Sun Jun 10 02:25:06 +0000 2018,RT @amyvirshup: Kris Kobach email in group of documents released in connection with census lawsuit says he talked to Wilbur Ross about citi…,0.0,0.921,0.079,21,-0.2263
421,nytimes,Sun Jun 10 02:15:35 +0000 2018,"Before leaving the annual meeting of major world powers, President Trump said that on a scale of 0 to 10, ""the rela… https://t.co/5dSqlZmSHy",0.0,1.0,0.0,22,0.0
422,nytimes,Sun Jun 10 02:05:49 +0000 2018,Documents Show Political Lobbying in Census Question About Citizenship https://t.co/41VoR04bNy,0.0,0.874,0.126,23,-0.0772
423,nytimes,Sun Jun 10 02:03:04 +0000 2018,"Venomous stonefish are ugly, and they're poisonous. And now scientists have discovered that they carry switchblades. https://t.co/YsJ7HkazJa",0.0,0.682,0.318,24,-0.7906
424,nytimes,Sun Jun 10 01:56:53 +0000 2018,"Trudeau’s office responded to Trump's tweets with a statement: ""We are focused on everything we accomplished here a… https://t.co/wQERlgpNnJ",0.256,0.744,0.0,25,0.6705
425,nytimes,Sun Jun 10 01:47:24 +0000 2018,"The ice over Manhattan would have buried even the tallest skyscraper. As it melted, giant boulders embedded deep wi… https://t.co/ulWgedMV5w",0.0,1.0,0.0,26,0.0
426,nytimes,Sun Jun 10 01:35:50 +0000 2018,"Trudeau sought to play down personal clashes with Trump as he wrapped up the G-7 summit, saying he leaves “inspired… https://t.co/gY0bzq4klo",0.107,0.893,0.0,27,0.34
427,nytimes,Sun Jun 10 01:30:41 +0000 2018,Nick Cave Wants You to Work It Out on the Dance Floor https://t.co/GMPPrGqLh7,0.0,1.0,0.0,28,0.0
428,nytimes,Sun Jun 10 01:18:36 +0000 2018,"Janelle Monáe brings a pair of big fuzzy socks on the road. ""I like to moonwalk when I’m on the tour bus. It’s my f… https://t.co/jbf5ZtCzC8",0.094,0.906,0.0,29,0.3612
429,nytimes,Sun Jun 10 01:03:05 +0000 2018,"RT @kimseverson: Here's a sketch of Bourdain’s last couple of days in the medieval village where he died, from @MilanSchreuer of the @nytim…",0.0,0.854,0.146,30,-0.5574
430,nytimes,Sun Jun 10 00:04:46 +0000 2018,Judge Stops Deportation of a New York Pizza Delivery Man https://t.co/HvmhAiLkvU,0.0,0.849,0.151,31,-0.1531
431,nytimes,Sat Jun 09 23:43:28 +0000 2018,RT @nytimestravel: This year would have been Leonard Bernstein's 100th birthday. Celebrate his rich musical legacy at these events around t…,0.278,0.722,0.0,32,0.8074
432,nytimes,Sat Jun 09 23:43:02 +0000 2018,"Breaking News: President Trump upended two days of diplomacy, refusing to sign a Group of 7 statement and calling P… https://t.co/Y0hQKylGpt",0.0,0.87,0.13,33,-0.4019
433,nytimes,Sat Jun 09 23:25:30 +0000 2018,I Have Post-Brokeness Stress Disorder https://t.co/DzbNcVsanm,0.0,0.353,0.647,34,-0.6705
434,nytimes,Sat Jun 09 23:11:56 +0000 2018,The powerful conservative donor couple you’ve never heard of: Liz and Dick Uihlein are spending millions to shape a… https://t.co/X4PKGfkCQc,0.116,0.747,0.137,35,-0.128
